V1 V2 V3 V4
chl_Oyr_CanESM5-1_ssp119_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp119/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5-1_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 41962bf902d565901ab5ee0732add9b484291aca1884970a22a663b3aab50fbb
chl_Oyr_CanESM5-1_ssp126_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp126/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5-1_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 f30d7801bd4179d3996c3c76782a337c9eccaeaf7bed2a014a9652c6cef65272
chl_Oyr_CanESM5-1_ssp245_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp245/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5-1_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 cca584697ba4948958f1847ca863f89fc4a1a5bee9b1c434943c5a2b975a7a19
chl_Oyr_CanESM5-1_ssp370_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp370/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5-1_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 6e2f0048ca6876708e2e694990f68a8d3cba6fcd2ee11aa0d016faee9f556087
chl_Oyr_CanESM5-1_ssp460_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp460/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5-1_ssp460_r1i1p1f1_gn_2015-2100.nc SHA256 dbd8bbb5404b596175a45fe01845740f837316ddcddfad8c2c9c6108c4ba8fd8
chl_Oyr_CanESM5-1_ssp585_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgH_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp585/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5-1_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 93ccf37630672fdff5bfb3656c66a2ba1ddbe57b7de8f834ead8fe7dd4bc7d7d
chl_Oyr_CanESM5_ssp119_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp119/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 5e72acf753d661525c58a3688d7cc3f3940bf66f3bb481c53df1d64630afe77e
chl_Oyr_CanESM5_ssp126_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 70fb268f4519a200b791f9811a0c571fda8a28b029c487de75a9745ee013300a
chl_Oyr_CanESM5_ssp245_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 9707e3d6518daeb7a347d474acd45afe7e8d3721740f426dc8615b00e7f9f9f1
chl_Oyr_CanESM5_ssp370_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 cb932054cd49387a0d235dac07474bdca4a23fc5832abd2b1c0c0345864d1f40
chl_Oyr_CanESM5_ssp434_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp434/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp434_r1i1p1f1_gn_2015-2100.nc SHA256 03e08b1fb01624ee7c759202a40dca7e2b98c9daa8deda5f6903d1c73c0be8c9
chl_Oyr_CanESM5_ssp460_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp460/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp460_r1i1p1f1_gn_2015-2100.nc SHA256 c2faa18d02deafcbf16cd9b16c372f7a09199de1322468737d73c675a5b20935
chl_Oyr_CanESM5_ssp534-over_r1i1p1f1_gn_2040-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp534-over/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp534-over_r1i1p1f1_gn_2040-2100.nc SHA256 dd9cf2747a7ebadc8c2d7d6ab9f60765238309929124f9b9f0964ed220353e8f
chl_Oyr_CanESM5_ssp585_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp585/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 4c33e851055728551eb965ed9c36a2a7898a47371b31ceddb0071b1a2d28a2f1
chl_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp126/r1i1p1f1/Oyr/chl/gn/v20210126/chl_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 251d7f01b73ecbd107ab896fb6824eef412e3d861becab61e6f46bb6b7a439d0
