V1 V2 V3 V4
dfe_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp126/r1i1p1f1/Oyr/dfe/gn/v20210126/dfe_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 c6eacb4edeeed1772ebe13cf93963a4a6e3dbd2f181af8389a11ce790009b97b
dfe_Oyr_CMCC-ESM2_ssp245_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp245/r1i1p1f1/Oyr/dfe/gn/v20210129/dfe_Oyr_CMCC-ESM2_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 0946669123182c1e169f21586b821b08e467eaaa05b00645e9bb2045e5c3eb91
dfe_Oyr_CMCC-ESM2_ssp370_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp370/r1i1p1f1/Oyr/dfe/gn/v20210202/dfe_Oyr_CMCC-ESM2_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 4f29dd0b722d25a0ba9d1f2236c90023e97dda85da4a39e563ffda1ba0e8b945
dfe_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp534-over/r1i1p1f1/Oyr/dfe/gn/v20210409/dfe_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc SHA256 dd989d54af8074ccd3db7db1dfb0f88fd6c16d6f753fa6562cfce7a4c0d9a5c0
dfe_Oyr_CMCC-ESM2_ssp585_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/Oyr/dfe/gn/v20210126/dfe_Oyr_CMCC-ESM2_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 8381a41146502121c6b5b377e104e9608f9fb35070a2c6f1aa1a9a4df387976e
dfe_Oyr_EC-Earth3-CC_ssp245_r1i1p1f1_gn_2100-2100.nc http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dn-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp245/r1i1p1f1/Oyr/dfe/gn/v20210113/dfe_Oyr_EC-Earth3-CC_ssp245_r1i1p1f1_gn_2100-2100.nc SHA256 85c705549c560a188b704b5f14394b9269f0e73843ee52580432b998d0baa45d
dfe_Oyr_EC-Earth3-CC_ssp585_r1i1p1f1_gn_2100-2100.nc http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dm-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp585/r1i1p1f1/Oyr/dfe/gn/v20210113/dfe_Oyr_EC-Earth3-CC_ssp585_r1i1p1f1_gn_2100-2100.nc SHA256 fe0a2d79b252a87bf1ab229321af8dc09120f229f840824ec4cea0383f4a79ff
dfe_Oyr_IPSL-CM6A-LR_ssp119_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Oyr/dfe/gn/v20190410/dfe_Oyr_IPSL-CM6A-LR_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 dc9bf570e92abad5911efdc5b6ee3fc81064c789de486f81925a88d11c6b4660
dfe_Oyr_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/Oyr/dfe/gn/v20190903/dfe_Oyr_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 7642feccaaccf31f13bc6006b4ced4e7d337113345dff13e1a5a60a007a8fb23
dfe_Oyr_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Oyr/dfe/gn/v20190119/dfe_Oyr_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 22e586c93942c2a7bb41ea30d1ae9174a7fd0d39b02471915e8669d7e3a5b9c1
