V1 V2 V3 V4
o2_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp534-over/r1i1p1f1/Oyr/o2/gn/v20210409/o2_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc SHA256 86099084875068208bae0324554d8ba4cf98fae8d17985d7aca30656581a285e
o2_Oyr_EC-Earth3-CC_ssp245_r1i1p1f1_gn_2100-2100.nc http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dn-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp245/r1i1p1f1/Oyr/o2/gn/v20210113/o2_Oyr_EC-Earth3-CC_ssp245_r1i1p1f1_gn_2100-2100.nc SHA256 6c70d5e3bb672840fb08ee4818ed0bb61dcbbee6bed50e66bca5cf796356d43a
o2_Oyr_EC-Earth3-CC_ssp585_r1i1p1f1_gn_2100-2100.nc http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dm-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp585/r1i1p1f1/Oyr/o2/gn/v20210113/o2_Oyr_EC-Earth3-CC_ssp585_r1i1p1f1_gn_2100-2100.nc SHA256 c78ec6ba716479bdbdc1026e73efc11bcea0dbba9f5211b39b100762feac60c9
o2_Oyr_IPSL-CM6A-LR_ssp119_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Oyr/o2/gn/v20190410/o2_Oyr_IPSL-CM6A-LR_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 3f482c10e68bf2a5ddd739573203c3f2bfe6af0229a1c0e98e6ea877edc808a9
o2_Oyr_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/Oyr/o2/gn/v20190903/o2_Oyr_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 eac6f1ec0c0c8c5e43f2e389fa11a112923f11942a2f985c776ce2f7f64812e9
o2_Oyr_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Oyr/o2/gn/v20190119/o2_Oyr_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 d89b1eaab6042b883ad0eda2c11da030e447d76a3ce6b4bcdbbeccf649801881
o2_Oyr_IPSL-CM6A-LR_ssp370_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp370/r1i1p1f1/Oyr/o2/gn/v20190119/o2_Oyr_IPSL-CM6A-LR_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 9d88a6fe89578a5cfe20401db2afd9492c9d3b4243302a2e25f2c7d223dfcaed
o2_Oyr_IPSL-CM6A-LR_ssp434_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp434/r1i1p1f1/Oyr/o2/gn/v20190506/o2_Oyr_IPSL-CM6A-LR_ssp434_r1i1p1f1_gn_2015-2100.nc SHA256 7719089f0783859a998a63602113a4bbbc8067639f0169e2ac151f7a4488c675
o2_Oyr_IPSL-CM6A-LR_ssp460_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp460/r1i1p1f1/Oyr/o2/gn/v20190506/o2_Oyr_IPSL-CM6A-LR_ssp460_r1i1p1f1_gn_2015-2100.nc SHA256 b980ab42cfb5fae23d0e98413e22ec1fd69aa613a50a8f3fa12c6d25d1704785
o2_Oyr_IPSL-CM6A-LR_ssp534-over_r1i1p1f1_gn_2040-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp534-over/r1i1p1f1/Oyr/o2/gn/v20190909/o2_Oyr_IPSL-CM6A-LR_ssp534-over_r1i1p1f1_gn_2040-2100.nc SHA256 e3c173ec0ec0d92066948de230b2a274855a4141db9a99c9a2d7e1b6e456b7ee
o2_Oyr_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/Oyr/o2/gn/v20190903/o2_Oyr_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 28d4a35c7893c50c1eb72aa1a6d0886ea7890b85f2b2d92c28f3e12341ebe53c
o2_Oyr_NorESM2-LM_ssp126_r1i1p1f1_gn_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp126/r1i1p1f1/Oyr/o2/gn/v20191108/o2_Oyr_NorESM2-LM_ssp126_r1i1p1f1_gn_2091-2100.nc SHA256 5ab88baddd301505eb4492eafbae0b73a8c3d21d638655895b0f58746b9c6eb8
o2_Oyr_NorESM2-LM_ssp126_r1i1p1f1_gr_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp126/r1i1p1f1/Oyr/o2/gr/v20191108/o2_Oyr_NorESM2-LM_ssp126_r1i1p1f1_gr_2091-2100.nc SHA256 7cb32e7bc04e69eae383ba13cc106563c30a037839d25e11afb8b12576572874
o2_Oyr_NorESM2-LM_ssp245_r1i1p1f1_gn_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Oyr/o2/gn/v20191108/o2_Oyr_NorESM2-LM_ssp245_r1i1p1f1_gn_2091-2100.nc SHA256 5d66bcf501954569007ab5a5a193e1f25dbd4ac5937c1aa6d9ec62a2b29b8e5e
