V1 V2 V3 V4
thetao_Omon_CanESM5_ssp119_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp119/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp119_r1i1p1f1_gn_201501-202012.nc SHA256 2fe7708045202a57d9aa492c9465065c50835abce68f63a4fdd6a1dee7f37bd4
thetao_Omon_CanESM5_ssp126_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp126_r1i1p1f1_gn_201501-202012.nc SHA256 dceafeb6c6ede7667f9ddd8549b5fb1edaec37c12460b7ed435a65d8b16b6155
thetao_Omon_CanESM5_ssp245_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp245_r1i1p1f1_gn_201501-202012.nc SHA256 9eca8880cef9c1664a34b9741710a97a540e0fc2097a8421591e86d36ce7e451
thetao_Omon_CanESM5_ssp370_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp370_r1i1p1f1_gn_201501-202012.nc SHA256 00ef26c86fbba1541666b49c5db45252363daf5ddbe8427452352699275d99cb
thetao_Omon_CanESM5_ssp434_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp434/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp434_r1i1p1f1_gn_201501-202012.nc SHA256 c2ee41711c09d2c1fcd5d517990c7e80ac3a390ed6486214c6454ffab26b2198
thetao_Omon_CanESM5_ssp460_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp460/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp460_r1i1p1f1_gn_201501-202012.nc SHA256 2becfbb2b8197b402ef59ec5236ab870ef8dc5bac70d7998e510169054b86993
thetao_Omon_CanESM5_ssp585_r1i1p1f1_gn_201501-202012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp585/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp585_r1i1p1f1_gn_201501-202012.nc SHA256 18dd69ae42722a06de4fbc0c472755e26c7a5ded5292035ca578cbbf52445315
thetao_Omon_NESM3_ssp126_r1i1p1f1_gn_201501-204012.nc http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NUIST/NESM3/ssp126/r1i1p1f1/Omon/thetao/gn/v20190731/thetao_Omon_NESM3_ssp126_r1i1p1f1_gn_201501-204012.nc SHA256 2439586a8be348588ad971a831de9fd275df2069bbe457de4c9b80f09625fdd3
thetao_Omon_NESM3_ssp245_r1i1p1f1_gn_201501-204012.nc http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NUIST/NESM3/ssp245/r1i1p1f1/Omon/thetao/gn/v20190731/thetao_Omon_NESM3_ssp245_r1i1p1f1_gn_201501-204012.nc SHA256 03f53f5ed5f427ae85f7053faf1a4066cdf68925e1e479cb29de1475f96c6335
thetao_Omon_NESM3_ssp585_r1i1p1f1_gn_201501-204012.nc http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NUIST/NESM3/ssp585/r1i1p1f1/Omon/thetao/gn/v20190731/thetao_Omon_NESM3_ssp585_r1i1p1f1_gn_201501-204012.nc SHA256 afb4d5ff6766139ae93b80bc4de5526d7c90bdfcae8e69cd53ef8d8fff19b1d2
