V1 V2 V3 V4
no3_Oyr_CanESM5-1_ssp119_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp119/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5-1_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 845eecf98c4398f5ecaab169ea1ce20f6bf1b0d7e014dd69b3c9b2c142f4a5df
no3_Oyr_CanESM5-1_ssp126_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp126/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5-1_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 c082e0751f4da42925f53e262dcaa2adbdd2dc047bd9b3c0d2b865fb87efbe62
no3_Oyr_CanESM5-1_ssp245_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp245/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5-1_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 bee356601251efa1fb688a362d33507dd644c1c2d50a54fd0d88532f2f67ef10
no3_Oyr_CanESM5-1_ssp370_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp370/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5-1_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 ab86612962d2897f1adafd5f5e73e6e55bbac4f325023814fce5520b6e5a1f98
no3_Oyr_CanESM5-1_ssp460_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgI_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp460/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5-1_ssp460_r1i1p1f1_gn_2015-2100.nc SHA256 33ffab1b4b72f8ddd13600a2ee9b32dec05efc661ff599818b5f42a83e5c1145
no3_Oyr_CanESM5-1_ssp585_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgH_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5-1/ssp585/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5-1_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 d0e0d9aef9b760a7f061585b22be7f04cce19ef057858f797ce61aadf50b91e4
no3_Oyr_CanESM5_ssp119_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp119/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 b60634a460ad5bfb3832525add2e1524e509e8284d3b8f6460105c46488b1b05
no3_Oyr_CanESM5_ssp126_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 f63a373bd81638c43e1b5f64d9c5e23fae5602fd73e51ad5074c953068a317df
no3_Oyr_CanESM5_ssp245_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 1470f5145bffaff1c096ce82dc1463cf7d302c63843f3b96cf182eb9593ec6f6
no3_Oyr_CanESM5_ssp370_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 652b09b888297ba331e68a2e11adbfb973ccd7e9db0ca1cf282010b7bf77ccb6
no3_Oyr_CanESM5_ssp434_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp434/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp434_r1i1p1f1_gn_2015-2100.nc SHA256 16a200c7d3db608b7bc0fad50852fd804442e5d36296d05eb85a74e8addae6a6
no3_Oyr_CanESM5_ssp460_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp460/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp460_r1i1p1f1_gn_2015-2100.nc SHA256 a8302377b4d79d1253f770f74ef986f9945e4fd99f8d566bba285215d0efc9d9
no3_Oyr_CanESM5_ssp534-over_r1i1p1f1_gn_2040-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp534-over/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp534-over_r1i1p1f1_gn_2040-2100.nc SHA256 2ccf056e521ed019ebdf6e0bf3a17133eebc9c5fbfc381ab2e5b81de59b5b3ca
no3_Oyr_CanESM5_ssp585_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp585/r1i1p1f1/Oyr/no3/gn/v20190429/no3_Oyr_CanESM5_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 c12bffef9de42f5100f84762c4fcfbbe7bc98103ac6cd6c57c056a5b465095ff
no3_Oyr_CMCC-ESM2_ssp370_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp370/r1i1p1f1/Oyr/no3/gn/v20210202/no3_Oyr_CMCC-ESM2_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 7e5d890f9c299cfcbe4713d22b9d28c9f7ac1ef6c767a864a84ced224c2136d9
no3_Oyr_CESM2-WACCM_ssp126_r1i1p1f1_gn_2015-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp126/r1i1p1f1/Oyr/no3/gn/v20210211/no3_Oyr_CESM2-WACCM_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 3ef40d0fb03d8531f72af29ba01d864019f7ce18ba7c52b996d987f7a5803849
no3_Oyr_CESM2-WACCM_ssp245_r1i1p1f1_gn_2065-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp245/r1i1p1f1/Oyr/no3/gn/v20190815/no3_Oyr_CESM2-WACCM_ssp245_r1i1p1f1_gn_2065-2100.nc SHA256 d6f61d114635af56dff96c226ef8bc3d1a4657c3b1e9b36684245c7b0124ef6f
no3_Oyr_CESM2-WACCM_ssp370_r1i1p1f1_gn_2065-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp370/r1i1p1f1/Oyr/no3/gn/v20190815/no3_Oyr_CESM2-WACCM_ssp370_r1i1p1f1_gn_2065-2100.nc SHA256 8384d1900d7b291a359a0b090f29c5b022b2c4b64dd8fb9c674454daf8410690
no3_Oyr_CESM2-WACCM_ssp534-over_r1i1p1f1_gn_2040-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp534-over/r1i1p1f1/Oyr/no3/gn/v20200701/no3_Oyr_CESM2-WACCM_ssp534-over_r1i1p1f1_gn_2040-2100.nc SHA256 cc8a22d069ff5832c0794f2de046653016c16ddba18c95d0bc44a991fc3f4025
no3_Oyr_CESM2-WACCM_ssp585_r1i1p1f1_gn_2015-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp585/r1i1p1f1/Oyr/no3/gn/v20190815/no3_Oyr_CESM2-WACCM_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 f4e109621a5b380553e1c669a5481d86a6e004d6fdc070def864fafd43344eff
no3_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp126/r1i1p1f1/Oyr/no3/gn/v20210126/no3_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 8a149584d3e8258cb1c2b74d2eb5f1079b52a4d8318ac68487a540aca35ccc6e
no3_Oyr_CMCC-ESM2_ssp245_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp245/r1i1p1f1/Oyr/no3/gn/v20210129/no3_Oyr_CMCC-ESM2_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 2830ee23ee4f0a1abc6777759807ffacb8f664348bc5dc06ac712e3cbee334f5
no3_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp534-over/r1i1p1f1/Oyr/no3/gn/v20210409/no3_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc SHA256 d07dcb09f6d4739854684470c9001bd47c65b1816edf552aca4d96ad7742774a
no3_Oyr_CMCC-ESM2_ssp585_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/Oyr/no3/gn/v20210126/no3_Oyr_CMCC-ESM2_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 91ece80ff9847a997b39ddb98b941f0689058ed8c8ba5c273a40daa91bdaed14
